1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
59 115 169 221 271 319 365 409 451 491 529 565 599 631 661 689 715 739 761 781 799 815 829 841 851 859 865 869 871 871 869 865 859 851 841 829 815 799 781 761 739 715 689 661 631 599 565 529 491 451 409 365 319 271 221 169 115 59 1 60 119 178 237 296 355 414 473 532 591 650 709 768 827 886 945 1004 1063 1122 1181 1240 1299 1358 1417 1476 1535 1594 1653 1712 1771 1830 1889 1948 2007 2066 2125 2184 2243 2302 2361 2420 
60 117 172 225 276 325 372 417 460 501 540 577 612 645 676 705 732 757 780 801 820 837 852 865 876 885 892 897 900 901 900 897 892 885 876 865 852 837 820 801 780 757 732 705 676 645 612 577 540 501 460 417 372 325 276 225 172 117 60 1 61 121 181 241 301 361 421 481 541 601 661 721 781 841 901 961 1021 1081 1141 1201 1261 1321 1381 1441 1501 1561 1621 1681 1741 1801 1861 1921 1981 2041 2101 2161 2221 2281 2341 2401 
61 119 175 229 281 331 379 425 469 511 551 589 625 659 691 721 749 775 799 821 841 859 875 889 901 911 919 925 929 931 931 929 925 919 911 901 889 875 859 841 821 799 775 749 721 691 659 625 589 551 511 469 425 379 331 281 229 175 119 61 1 62 123 184 245 306 367 428 489 550 611 672 733 794 855 916 977 1038 1099 1160 1221 1282 1343 1404 1465 1526 1587 1648 1709 1770 1831 1892 1953 2014 2075 2136 2197 2258 2319 2380 
62 121 178 233 286 337 386 433 478 521 562 601 638 673 706 737 766 793 818 841 862 881 898 913 926 937 946 953 958 961 962 961 958 953 946 937 926 913 898 881 862 841 818 793 766 737 706 673 638 601 562 521 478 433 386 337 286 233 178 121 62 1 63 125 187 249 311 373 435 497 559 621 683 745 807 869 931 993 1055 1117 1179 1241 1303 1365 1427 1489 1551 1613 1675 1737 1799 1861 1923 1985 2047 2109 2171 2233 2295 2357 
63 123 181 237 291 343 393 441 487 531 573 613 651 687 721 753 783 811 837 861 883 903 921 937 951 963 973 981 987 991 993 993 991 987 981 973 963 951 937 921 903 883 861 837 811 783 753 721 687 651 613 573 531 487 441 393 343 291 237 181 123 63 1 64 127 190 253 316 379 442 505 568 631 694 757 820 883 946 1009 1072 1135 1198 1261 1324 1387 1450 1513 1576 1639 1702 1765 1828 1891 1954 2017 2080 2143 2206 2269 2332 
64 125 184 241 296 349 400 449 496 541 584 625 664 701 736 769 800 829 856 881 904 925 944 961 976 989 1000 1009 1016 1021 1024 1025 1024 1021 1016 1009 1000 989 976 961 944 925 904 881 856 829 800 769 736 701 664 625 584 541 496 449 400 349 296 241 184 125 64 1 65 129 193 257 321 385 449 513 577 641 705 769 833 897 961 1025 1089 1153 1217 1281 1345 1409 1473 1537 1601 1665 1729 1793 1857 1921 1985 2049 2113 2177 2241 2305 
65 127 187 245 301 355 407 457 505 551 595 637 677 715 751 785 817 847 875 901 925 947 967 985 1001 1015 1027 1037 1045 1051 1055 1057 1057 1055 1051 1045 1037 1027 1015 1001 985 967 947 925 901 875 847 817 785 751 715 677 637 595 551 505 457 407 355 301 245 187 127 65 1 66 131 196 261 326 391 456 521 586 651 716 781 846 911 976 1041 1106 1171 1236 1301 1366 1431 1496 1561 1626 1691 1756 1821 1886 1951 2016 2081 2146 2211 2276 
66 129 190 249 306 361 414 465 514 561 606 649 690 729 766 801 834 865 894 921 946 969 990 1009 1026 1041 1054 1065 1074 1081 1086 1089 1090 1089 1086 1081 1074 1065 1054 1041 1026 1009 990 969 946 921 894 865 834 801 766 729 690 649 606 561 514 465 414 361 306 249 190 129 66 1 67 133 199 265 331 397 463 529 595 661 727 793 859 925 991 1057 1123 1189 1255 1321 1387 1453 1519 1585 1651 1717 1783 1849 1915 1981 2047 2113 2179 2245 
67 131 193 253 311 367 421 473 523 571 617 661 703 743 781 817 851 883 913 941 967 991 1013 1033 1051 1067 1081 1093 1103 1111 1117 1121 1123 1123 1121 1117 1111 1103 1093 1081 1067 1051 1033 1013 991 967 941 913 883 851 817 781 743 703 661 617 571 523 473 421 367 311 253 193 131 67 1 68 135 202 269 336 403 470 537 604 671 738 805 872 939 1006 1073 1140 1207 1274 1341 1408 1475 1542 1609 1676 1743 1810 1877 1944 2011 2078 2145 2212 
68 133 196 257 316 373 428 481 532 581 628 673 716 757 796 833 868 901 932 961 988 1013 1036 1057 1076 1093 1108 1121 1132 1141 1148 1153 1156 1157 1156 1153 1148 1141 1132 1121 1108 1093 1076 1057 1036 1013 988 961 932 901 868 833 796 757 716 673 628 581 532 481 428 373 316 257 196 133 68 1 69 137 205 273 341 409 477 545 613 681 749 817 885 953 1021 1089 1157 1225 1293 1361 1429 1497 1565 1633 1701 1769 1837 1905 1973 2041 2109 2177 
69 135 199 261 321 379 435 489 541 591 639 685 729 771 811 849 885 919 951 981 1009 1035 1059 1081 1101 1119 1135 1149 1161 1171 1179 1185 1189 1191 1191 1189 1185 1179 1171 1161 1149 1135 1119 1101 1081 1059 1035 1009 981 951 919 885 849 811 771 729 685 639 591 541 489 435 379 321 261 199 135 69 1 70 139 208 277 346 415 484 553 622 691 760 829 898 967 1036 1105 1174 1243 1312 1381 1450 1519 1588 1657 1726 1795 1864 1933 2002 2071 2140 
70 137 202 265 326 385 442 497 550 601 650 697 742 785 826 865 902 937 970 1001 1030 1057 1082 1105 1126 1145 1162 1177 1190 1201 1210 1217 1222 1225 1226 1225 1222 1217 1210 1201 1190 1177 1162 1145 1126 1105 1082 1057 1030 1001 970 937 902 865 826 785 742 697 650 601 550 497 442 385 326 265 202 137 70 1 71 141 211 281 351 421 491 561 631 701 771 841 911 981 1051 1121 1191 1261 1331 1401 1471 1541 1611 1681 1751 1821 1891 1961 2031 2101 
71 139 205 269 331 391 449 505 559 611 661 709 755 799 841 881 919 955 989 1021 1051 1079 1105 1129 1151 1171 1189 1205 1219 1231 1241 1249 1255 1259 1261 1261 1259 1255 1249 1241 1231 1219 1205 1189 1171 1151 1129 1105 1079 1051 1021 989 955 919 881 841 799 755 709 661 611 559 505 449 391 331 269 205 139 71 1 72 143 214 285 356 427 498 569 640 711 782 853 924 995 1066 1137 1208 1279 1350 1421 1492 1563 1634 1705 1776 1847 1918 1989 2060 
72 141 208 273 336 397 456 513 568 621 672 721 768 813 856 897 936 973 1008 1041 1072 1101 1128 1153 1176 1197 1216 1233 1248 1261 1272 1281 1288 1293 1296 1297 1296 1293 1288 1281 1272 1261 1248 1233 1216 1197 1176 1153 1128 1101 1072 1041 1008 973 936 897 856 813 768 721 672 621 568 513 456 397 336 273 208 141 72 1 73 145 217 289 361 433 505 577 649 721 793 865 937 1009 1081 1153 1225 1297 1369 1441 1513 1585 1657 1729 1801 1873 1945 2017 
73 143 211 277 341 403 463 521 577 631 683 733 781 827 871 913 953 991 1027 1061 1093 1123 1151 1177 1201 1223 1243 1261 1277 1291 1303 1313 1321 1327 1331 1333 1333 1331 1327 1321 1313 1303 1291 1277 1261 1243 1223 1201 1177 1151 1123 1093 1061 1027 991 953 913 871 827 781 733 683 631 577 521 463 403 341 277 211 143 73 1 74 147 220 293 366 439 512 585 658 731 804 877 950 1023 1096 1169 1242 1315 1388 1461 1534 1607 1680 1753 1826 1899 1972 
74 145 214 281 346 409 470 529 586 641 694 745 794 841 886 929 970 1009 1046 1081 1114 1145 1174 1201 1226 1249 1270 1289 1306 1321 1334 1345 1354 1361 1366 1369 1370 1369 1366 1361 1354 1345 1334 1321 1306 1289 1270 1249 1226 1201 1174 1145 1114 1081 1046 1009 970 929 886 841 794 745 694 641 586 529 470 409 346 281 214 145 74 1 75 149 223 297 371 445 519 593 667 741 815 889 963 1037 1111 1185 1259 1333 1407 1481 1555 1629 1703 1777 1851 1925 
75 147 217 285 351 415 477 537 595 651 705 757 807 855 901 945 987 1027 1065 1101 1135 1167 1197 1225 1251 1275 1297 1317 1335 1351 1365 1377 1387 1395 1401 1405 1407 1407 1405 1401 1395 1387 1377 1365 1351 1335 1317 1297 1275 1251 1225 1197 1167 1135 1101 1065 1027 987 945 901 855 807 757 705 651 595 537 477 415 351 285 217 147 75 1 76 151 226 301 376 451 526 601 676 751 826 901 976 1051 1126 1201 1276 1351 1426 1501 1576 1651 1726 1801 1876 
76 149 220 289 356 421 484 545 604 661 716 769 820 869 916 961 1004 1045 1084 1121 1156 1189 1220 1249 1276 1301 1324 1345 1364 1381 1396 1409 1420 1429 1436 1441 1444 1445 1444 1441 1436 1429 1420 1409 1396 1381 1364 1345 1324 1301 1276 1249 1220 1189 1156 1121 1084 1045 1004 961 916 869 820 769 716 661 604 545 484 421 356 289 220 149 76 1 77 153 229 305 381 457 533 609 685 761 837 913 989 1065 1141 1217 1293 1369 1445 1521 1597 1673 1749 1825 
77 151 223 293 361 427 491 553 613 671 727 781 833 883 931 977 1021 1063 1103 1141 1177 1211 1243 1273 1301 1327 1351 1373 1393 1411 1427 1441 1453 1463 1471 1477 1481 1483 1483 1481 1477 1471 1463 1453 1441 1427 1411 1393 1373 1351 1327 1301 1273 1243 1211 1177 1141 1103 1063 1021 977 931 883 833 781 727 671 613 553 491 427 361 293 223 151 77 1 78 155 232 309 386 463 540 617 694 771 848 925 1002 1079 1156 1233 1310 1387 1464 1541 1618 1695 1772 
78 153 226 297 366 433 498 561 622 681 738 793 846 897 946 993 1038 1081 1122 1161 1198 1233 1266 1297 1326 1353 1378 1401 1422 1441 1458 1473 1486 1497 1506 1513 1518 1521 1522 1521 1518 1513 1506 1497 1486 1473 1458 1441 1422 1401 1378 1353 1326 1297 1266 1233 1198 1161 1122 1081 1038 993 946 897 846 793 738 681 622 561 498 433 366 297 226 153 78 1 79 157 235 313 391 469 547 625 703 781 859 937 1015 1093 1171 1249 1327 1405 1483 1561 1639 1717 
79 155 229 301 371 439 505 569 631 691 749 805 859 911 961 1009 1055 1099 1141 1181 1219 1255 1289 1321 1351 1379 1405 1429 1451 1471 1489 1505 1519 1531 1541 1549 1555 1559 1561 1561 1559 1555 1549 1541 1531 1519 1505 1489 1471 1451 1429 1405 1379 1351 1321 1289 1255 1219 1181 1141 1099 1055 1009 961 911 859 805 749 691 631 569 505 439 371 301 229 155 79 1 80 159 238 317 396 475 554 633 712 791 870 949 1028 1107 1186 1265 1344 1423 1502 1581 1660 
80 157 232 305 376 445 512 577 640 701 760 817 872 925 976 1025 1072 1117 1160 1201 1240 1277 1312 1345 1376 1405 1432 1457 1480 1501 1520 1537 1552 1565 1576 1585 1592 1597 1600 1601 1600 1597 1592 1585 1576 1565 1552 1537 1520 1501 1480 1457 1432 1405 1376 1345 1312 1277 1240 1201 1160 1117 1072 1025 976 925 872 817 760 701 640 577 512 445 376 305 232 157 80 1 81 161 241 321 401 481 561 641 721 801 881 961 1041 1121 1201 1281 1361 1441 1521 1601 
81 159 235 309 381 451 519 585 649 711 771 829 885 939 991 1041 1089 1135 1179 1221 1261 1299 1335 1369 1401 1431 1459 1485 1509 1531 1551 1569 1585 1599 1611 1621 1629 1635 1639 1641 1641 1639 1635 1629 1621 1611 1599 1585 1569 1551 1531 1509 1485 1459 1431 1401 1369 1335 1299 1261 1221 1179 1135 1089 1041 991 939 885 829 771 711 649 585 519 451 381 309 235 159 81 1 82 163 244 325 406 487 568 649 730 811 892 973 1054 1135 1216 1297 1378 1459 1540 
82 161 238 313 386 457 526 593 658 721 782 841 898 953 1006 1057 1106 1153 1198 1241 1282 1321 1358 1393 1426 1457 1486 1513 1538 1561 1582 1601 1618 1633 1646 1657 1666 1673 1678 1681 1682 1681 1678 1673 1666 1657 1646 1633 1618 1601 1582 1561 1538 1513 1486 1457 1426 1393 1358 1321 1282 1241 1198 1153 1106 1057 1006 953 898 841 782 721 658 593 526 457 386 313 238 161 82 1 83 165 247 329 411 493 575 657 739 821 903 985 1067 1149 1231 1313 1395 1477 
83 163 241 317 391 463 533 601 667 731 793 853 911 967 1021 1073 1123 1171 1217 1261 1303 1343 1381 1417 1451 1483 1513 1541 1567 1591 1613 1633 1651 1667 1681 1693 1703 1711 1717 1721 1723 1723 1721 1717 1711 1703 1693 1681 1667 1651 1633 1613 1591 1567 1541 1513 1483 1451 1417 1381 1343 1303 1261 1217 1171 1123 1073 1021 967 911 853 793 731 667 601 533 463 391 317 241 163 83 1 84 167 250 333 416 499 582 665 748 831 914 997 1080 1163 1246 1329 1412 
84 165 244 321 396 469 540 609 676 741 804 865 924 981 1036 1089 1140 1189 1236 1281 1324 1365 1404 1441 1476 1509 1540 1569 1596 1621 1644 1665 1684 1701 1716 1729 1740 1749 1756 1761 1764 1765 1764 1761 1756 1749 1740 1729 1716 1701 1684 1665 1644 1621 1596 1569 1540 1509 1476 1441 1404 1365 1324 1281 1236 1189 1140 1089 1036 981 924 865 804 741 676 609 540 469 396 321 244 165 84 1 85 169 253 337 421 505 589 673 757 841 925 1009 1093 1177 1261 1345 
85 167 247 325 401 475 547 617 685 751 815 877 937 995 1051 1105 1157 1207 1255 1301 1345 1387 1427 1465 1501 1535 1567 1597 1625 1651 1675 1697 1717 1735 1751 1765 1777 1787 1795 1801 1805 1807 1807 1805 1801 1795 1787 1777 1765 1751 1735 1717 1697 1675 1651 1625 1597 1567 1535 1501 1465 1427 1387 1345 1301 1255 1207 1157 1105 1051 995 937 877 815 751 685 617 547 475 401 325 247 167 85 1 86 171 256 341 426 511 596 681 766 851 936 1021 1106 1191 1276 
86 169 250 329 406 481 554 625 694 761 826 889 950 1009 1066 1121 1174 1225 1274 1321 1366 1409 1450 1489 1526 1561 1594 1625 1654 1681 1706 1729 1750 1769 1786 1801 1814 1825 1834 1841 1846 1849 1850 1849 1846 1841 1834 1825 1814 1801 1786 1769 1750 1729 1706 1681 1654 1625 1594 1561 1526 1489 1450 1409 1366 1321 1274 1225 1174 1121 1066 1009 950 889 826 761 694 625 554 481 406 329 250 169 86 1 87 173 259 345 431 517 603 689 775 861 947 1033 1119 1205 
87 171 253 333 411 487 561 633 703 771 837 901 963 1023 1081 1137 1191 1243 1293 1341 1387 1431 1473 1513 1551 1587 1621 1653 1683 1711 1737 1761 1783 1803 1821 1837 1851 1863 1873 1881 1887 1891 1893 1893 1891 1887 1881 1873 1863 1851 1837 1821 1803 1783 1761 1737 1711 1683 1653 1621 1587 1551 1513 1473 1431 1387 1341 1293 1243 1191 1137 1081 1023 963 901 837 771 703 633 561 487 411 333 253 171 87 1 88 175 262 349 436 523 610 697 784 871 958 1045 1132 
88 173 256 337 416 493 568 641 712 781 848 913 976 1037 1096 1153 1208 1261 1312 1361 1408 1453 1496 1537 1576 1613 1648 1681 1712 1741 1768 1793 1816 1837 1856 1873 1888 1901 1912 1921 1928 1933 1936 1937 1936 1933 1928 1921 1912 1901 1888 1873 1856 1837 1816 1793 1768 1741 1712 1681 1648 1613 1576 1537 1496 1453 1408 1361 1312 1261 1208 1153 1096 1037 976 913 848 781 712 641 568 493 416 337 256 173 88 1 89 177 265 353 441 529 617 705 793 881 969 1057 
89 175 259 341 421 499 575 649 721 791 859 925 989 1051 1111 1169 1225 1279 1331 1381 1429 1475 1519 1561 1601 1639 1675 1709 1741 1771 1799 1825 1849 1871 1891 1909 1925 1939 1951 1961 1969 1975 1979 1981 1981 1979 1975 1969 1961 1951 1939 1925 1909 1891 1871 1849 1825 1799 1771 1741 1709 1675 1639 1601 1561 1519 1475 1429 1381 1331 1279 1225 1169 1111 1051 989 925 859 791 721 649 575 499 421 341 259 175 89 1 90 179 268 357 446 535 624 713 802 891 980 
90 177 262 345 426 505 582 657 730 801 870 937 1002 1065 1126 1185 1242 1297 1350 1401 1450 1497 1542 1585 1626 1665 1702 1737 1770 1801 1830 1857 1882 1905 1926 1945 1962 1977 1990 2001 2010 2017 2022 2025 2026 2025 2022 2017 2010 2001 1990 1977 1962 1945 1926 1905 1882 1857 1830 1801 1770 1737 1702 1665 1626 1585 1542 1497 1450 1401 1350 1297 1242 1185 1126 1065 1002 937 870 801 730 657 582 505 426 345 262 177 90 1 91 181 271 361 451 541 631 721 811 901 
91 179 265 349 431 511 589 665 739 811 881 949 1015 1079 1141 1201 1259 1315 1369 1421 1471 1519 1565 1609 1651 1691 1729 1765 1799 1831 1861 1889 1915 1939 1961 1981 1999 2015 2029 2041 2051 2059 2065 2069 2071 2071 2069 2065 2059 2051 2041 2029 2015 1999 1981 1961 1939 1915 1889 1861 1831 1799 1765 1729 1691 1651 1609 1565 1519 1471 1421 1369 1315 1259 1201 1141 1079 1015 949 881 811 739 665 589 511 431 349 265 179 91 1 92 183 274 365 456 547 638 729 820 
92 181 268 353 436 517 596 673 748 821 892 961 1028 1093 1156 1217 1276 1333 1388 1441 1492 1541 1588 1633 1676 1717 1756 1793 1828 1861 1892 1921 1948 1973 1996 2017 2036 2053 2068 2081 2092 2101 2108 2113 2116 2117 2116 2113 2108 2101 2092 2081 2068 2053 2036 2017 1996 1973 1948 1921 1892 1861 1828 1793 1756 1717 1676 1633 1588 1541 1492 1441 1388 1333 1276 1217 1156 1093 1028 961 892 821 748 673 596 517 436 353 268 181 92 1 93 185 277 369 461 553 645 737 
93 183 271 357 441 523 603 681 757 831 903 973 1041 1107 1171 1233 1293 1351 1407 1461 1513 1563 1611 1657 1701 1743 1783 1821 1857 1891 1923 1953 1981 2007 2031 2053 2073 2091 2107 2121 2133 2143 2151 2157 2161 2163 2163 2161 2157 2151 2143 2133 2121 2107 2091 2073 2053 2031 2007 1981 1953 1923 1891 1857 1821 1783 1743 1701 1657 1611 1563 1513 1461 1407 1351 1293 1233 1171 1107 1041 973 903 831 757 681 603 523 441 357 271 183 93 1 94 187 280 373 466 559 652 
94 185 274 361 446 529 610 689 766 841 914 985 1054 1121 1186 1249 1310 1369 1426 1481 1534 1585 1634 1681 1726 1769 1810 1849 1886 1921 1954 1985 2014 2041 2066 2089 2110 2129 2146 2161 2174 2185 2194 2201 2206 2209 2210 2209 2206 2201 2194 2185 2174 2161 2146 2129 2110 2089 2066 2041 2014 1985 1954 1921 1886 1849 1810 1769 1726 1681 1634 1585 1534 1481 1426 1369 1310 1249 1186 1121 1054 985 914 841 766 689 610 529 446 361 274 185 94 1 95 189 283 377 471 565 
95 187 277 365 451 535 617 697 775 851 925 997 1067 1135 1201 1265 1327 1387 1445 1501 1555 1607 1657 1705 1751 1795 1837 1877 1915 1951 1985 2017 2047 2075 2101 2125 2147 2167 2185 2201 2215 2227 2237 2245 2251 2255 2257 2257 2255 2251 2245 2237 2227 2215 2201 2185 2167 2147 2125 2101 2075 2047 2017 1985 1951 1915 1877 1837 1795 1751 1705 1657 1607 1555 1501 1445 1387 1327 1265 1201 1135 1067 997 925 851 775 697 617 535 451 365 277 187 95 1 96 191 286 381 476 
96 189 280 369 456 541 624 705 784 861 936 1009 1080 1149 1216 1281 1344 1405 1464 1521 1576 1629 1680 1729 1776 1821 1864 1905 1944 1981 2016 2049 2080 2109 2136 2161 2184 2205 2224 2241 2256 2269 2280 2289 2296 2301 2304 2305 2304 2301 2296 2289 2280 2269 2256 2241 2224 2205 2184 2161 2136 2109 2080 2049 2016 1981 1944 1905 1864 1821 1776 1729 1680 1629 1576 1521 1464 1405 1344 1281 1216 1149 1080 1009 936 861 784 705 624 541 456 369 280 189 96 1 97 193 289 385 
97 191 283 373 461 547 631 713 793 871 947 1021 1093 1163 1231 1297 1361 1423 1483 1541 1597 1651 1703 1753 1801 1847 1891 1933 1973 2011 2047 2081 2113 2143 2171 2197 2221 2243 2263 2281 2297 2311 2323 2333 2341 2347 2351 2353 2353 2351 2347 2341 2333 2323 2311 2297 2281 2263 2243 2221 2197 2171 2143 2113 2081 2047 2011 1973 1933 1891 1847 1801 1753 1703 1651 1597 1541 1483 1423 1361 1297 1231 1163 1093 1021 947 871 793 713 631 547 461 373 283 191 97 1 98 195 292 
98 193 286 377 466 553 638 721 802 881 958 1033 1106 1177 1246 1313 1378 1441 1502 1561 1618 1673 1726 1777 1826 1873 1918 1961 2002 2041 2078 2113 2146 2177 2206 2233 2258 2281 2302 2321 2338 2353 2366 2377 2386 2393 2398 2401 2402 2401 2398 2393 2386 2377 2366 2353 2338 2321 2302 2281 2258 2233 2206 2177 2146 2113 2078 2041 2002 1961 1918 1873 1826 1777 1726 1673 1618 1561 1502 1441 1378 1313 1246 1177 1106 1033 958 881 802 721 638 553 466 377 286 193 98 1 99 197 
99 195 289 381 471 559 645 729 811 891 969 1045 1119 1191 1261 1329 1395 1459 1521 1581 1639 1695 1749 1801 1851 1899 1945 1989 2031 2071 2109 2145 2179 2211 2241 2269 2295 2319 2341 2361 2379 2395 2409 2421 2431 2439 2445 2449 2451 2451 2449 2445 2439 2431 2421 2409 2395 2379 2361 2341 2319 2295 2269 2241 2211 2179 2145 2109 2071 2031 1989 1945 1899 1851 1801 1749 1695 1639 1581 1521 1459 1395 1329 1261 1191 1119 1045 969 891 811 729 645 559 471 381 289 195 99 1 100 
100 197 292 385 476 565 652 737 820 901 980 1057 1132 1205 1276 1345 1412 1477 1540 1601 1660 1717 1772 1825 1876 1925 1972 2017 2060 2101 2140 2177 2212 2245 2276 2305 2332 2357 2380 2401 2420 2437 2452 2465 2476 2485 2492 2497 2500 2501 2500 2497 2492 2485 2476 2465 2452 2437 2420 2401 2380 2357 2332 2305 2276 2245 2212 2177 2140 2101 2060 2017 1972 1925 1876 1825 1772 1717 1660 1601 1540 1477 1412 1345 1276 1205 1132 1057 980 901 820 737 652 565 476 385 292 197 100 1 
