1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
16 29 40 49 56 61 64 65 64 61 56 49 40 29 16 1 17 33 49 65 81 97 113 129 145 161 177 193 209 225 241 257 273 289 305 321 337 353 369 385 401 417 433 449 465 481 497 513 529 545 561 577 593 609 625 641 657 673 689 705 721 737 753 769 785 801 817 833 849 865 881 897 913 929 945 961 977 993 1009 1025 1041 1057 1073 1089 1105 1121 1137 1153 1169 1185 1201 1217 1233 1249 1265 1281 1297 1313 1329 1345 
17 31 43 53 61 67 71 73 73 71 67 61 53 43 31 17 1 18 35 52 69 86 103 120 137 154 171 188 205 222 239 256 273 290 307 324 341 358 375 392 409 426 443 460 477 494 511 528 545 562 579 596 613 630 647 664 681 698 715 732 749 766 783 800 817 834 851 868 885 902 919 936 953 970 987 1004 1021 1038 1055 1072 1089 1106 1123 1140 1157 1174 1191 1208 1225 1242 1259 1276 1293 1310 1327 1344 1361 1378 1395 1412 
18 33 46 57 66 73 78 81 82 81 78 73 66 57 46 33 18 1 19 37 55 73 91 109 127 145 163 181 199 217 235 253 271 289 307 325 343 361 379 397 415 433 451 469 487 505 523 541 559 577 595 613 631 649 667 685 703 721 739 757 775 793 811 829 847 865 883 901 919 937 955 973 991 1009 1027 1045 1063 1081 1099 1117 1135 1153 1171 1189 1207 1225 1243 1261 1279 1297 1315 1333 1351 1369 1387 1405 1423 1441 1459 1477 
19 35 49 61 71 79 85 89 91 91 89 85 79 71 61 49 35 19 1 20 39 58 77 96 115 134 153 172 191 210 229 248 267 286 305 324 343 362 381 400 419 438 457 476 495 514 533 552 571 590 609 628 647 666 685 704 723 742 761 780 799 818 837 856 875 894 913 932 951 970 989 1008 1027 1046 1065 1084 1103 1122 1141 1160 1179 1198 1217 1236 1255 1274 1293 1312 1331 1350 1369 1388 1407 1426 1445 1464 1483 1502 1521 1540 
20 37 52 65 76 85 92 97 100 101 100 97 92 85 76 65 52 37 20 1 21 41 61 81 101 121 141 161 181 201 221 241 261 281 301 321 341 361 381 401 421 441 461 481 501 521 541 561 581 601 621 641 661 681 701 721 741 761 781 801 821 841 861 881 901 921 941 961 981 1001 1021 1041 1061 1081 1101 1121 1141 1161 1181 1201 1221 1241 1261 1281 1301 1321 1341 1361 1381 1401 1421 1441 1461 1481 1501 1521 1541 1561 1581 1601 
21 39 55 69 81 91 99 105 109 111 111 109 105 99 91 81 69 55 39 21 1 22 43 64 85 106 127 148 169 190 211 232 253 274 295 316 337 358 379 400 421 442 463 484 505 526 547 568 589 610 631 652 673 694 715 736 757 778 799 820 841 862 883 904 925 946 967 988 1009 1030 1051 1072 1093 1114 1135 1156 1177 1198 1219 1240 1261 1282 1303 1324 1345 1366 1387 1408 1429 1450 1471 1492 1513 1534 1555 1576 1597 1618 1639 1660 
22 41 58 73 86 97 106 113 118 121 122 121 118 113 106 97 86 73 58 41 22 1 23 45 67 89 111 133 155 177 199 221 243 265 287 309 331 353 375 397 419 441 463 485 507 529 551 573 595 617 639 661 683 705 727 749 771 793 815 837 859 881 903 925 947 969 991 1013 1035 1057 1079 1101 1123 1145 1167 1189 1211 1233 1255 1277 1299 1321 1343 1365 1387 1409 1431 1453 1475 1497 1519 1541 1563 1585 1607 1629 1651 1673 1695 1717 
23 43 61 77 91 103 113 121 127 131 133 133 131 127 121 113 103 91 77 61 43 23 1 24 47 70 93 116 139 162 185 208 231 254 277 300 323 346 369 392 415 438 461 484 507 530 553 576 599 622 645 668 691 714 737 760 783 806 829 852 875 898 921 944 967 990 1013 1036 1059 1082 1105 1128 1151 1174 1197 1220 1243 1266 1289 1312 1335 1358 1381 1404 1427 1450 1473 1496 1519 1542 1565 1588 1611 1634 1657 1680 1703 1726 1749 1772 
24 45 64 81 96 109 120 129 136 141 144 145 144 141 136 129 120 109 96 81 64 45 24 1 25 49 73 97 121 145 169 193 217 241 265 289 313 337 361 385 409 433 457 481 505 529 553 577 601 625 649 673 697 721 745 769 793 817 841 865 889 913 937 961 985 1009 1033 1057 1081 1105 1129 1153 1177 1201 1225 1249 1273 1297 1321 1345 1369 1393 1417 1441 1465 1489 1513 1537 1561 1585 1609 1633 1657 1681 1705 1729 1753 1777 1801 1825 
25 47 67 85 101 115 127 137 145 151 155 157 157 155 151 145 137 127 115 101 85 67 47 25 1 26 51 76 101 126 151 176 201 226 251 276 301 326 351 376 401 426 451 476 501 526 551 576 601 626 651 676 701 726 751 776 801 826 851 876 901 926 951 976 1001 1026 1051 1076 1101 1126 1151 1176 1201 1226 1251 1276 1301 1326 1351 1376 1401 1426 1451 1476 1501 1526 1551 1576 1601 1626 1651 1676 1701 1726 1751 1776 1801 1826 1851 1876 
